Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DM-A288	0	0.0108164171421705	0.0776586906042383	0.0119359708747369	0	0.0473532389490195	0.0324361424275332	0	0	0	0.184620008652983	0	0	0.320119730682736	0	0	0	0	0	0.306798007778859	0.00826179288772287	0	0.161	0.0864320704766746	1.1111612134045
TCGA-AA-3548	0	0.0109885859078965	0.174577503021687	0.122247266021258	0	0.107344360534564	0.0220373639304792	0.015165028080739	0.182272216782185	0	0.0113390832756103	0	0	0.0679705541003018	0.0767268079492564	0.142942611296533	0.00582082685715788	0	0.0605677922423317	0	0	0	0.018	0.304936507192701	0.959356233668422
TCGA-G4-6297	0.0190937915069375	0	0.0932495638341779	0.165357263825455	0	0.100730548308292	0	0.0662966884677721	0.0527126592558929	0	0.0552560916167921	0	0.0156077160787636	0.156892855632412	0.0748257115363582	0.113881704588432	0.0393471972627526	0.0104632929135353	0	0.0241544669219486	0.0121304482504778	0	0.045	0.198061314891782	1.00424289052161
TCGA-AA-3982	0	0.00981265801913679	0.0850878167133252	0.176492028521106	0	0.119887880921124	0	0.090549823570656	0.0730937788859481	0	0	0.011647202934827	0	0.0676217667442326	0.0397395712616768	0.126998798537491	0.107441046023047	0.000425677210880426	0.0912019506565492	0	0	0	0.058	0.176158425705015	1.00985831679661
TCGA-AA-3875	0.0576525726957151	0	0.174860967367001	0.109516807307475	0	0.0432697801066941	0.0338774333591502	0.0919615332748075	0.0137410149977906	0	0.0165134634218925	0	0	0.0271117538545617	0.051633588053449	0.106635402577201	0.0358579087661517	0.0138314822532474	0.0581031833982469	0.0494512276802706	0.011483912191612	0.104497968694734	0.00900000000000001	0.382436516749452	0.922873067068401
TCGA-D5-5540	0	0.00766970367912013	0.0132279596088916	0.149917567540766	0	0	0.31737436087286	0.127512434559347	0	0	0.028130539125539	0	0	0.0460268244339123	0.073671932172666	0.103616809568228	0.0776951479890575	0	0	0.0513736428512344	0.00378307759837871	0	0.056	0.17722906542189	1.01327546391463
TCGA-CA-5797	0.0130686644211956	0	0.174643756153109	0.161166261467492	0	0.049007670582532	0	0.0154500503343145	0.0633707286312224	0	0.0107802996432525	0.0151298156613982	0	0.236040288445398	0.121906061110091	0.0230345147717028	0.0399540483930365	0	0.0764478403852557	0	0	0	0.017	0.310356231287009	0.958321725097887
TCGA-A6-2671	0.00644160630811027	0.000919875133311842	0.0194029931623496	0.0710300473545013	0	0.0656208518072263	0.000252143368530959	0.0247564799204463	0.0710843367710618	0	0.109576890398271	0	0	0.293480598762752	0.0339139139247307	0.140110264720911	0	0	0	0.123154727763606	0	0.0402552706041909	0.116	0.111410527145096	1.05921120160489
TCGA-D5-6929	0	0.0177076934256602	0.564656262108236	0.0561944160709921	0	0	0.0642747398725836	0.0153468578200662	0.0326583533429269	0	0.0362428977058841	0	0	0.142778204313675	0.00867409015522165	0.0558011560625962	0.0056653291221588	0	0	0	0	0	0	0.596267324564343	0.807210833674039
TCGA-CM-6161	0.0190602900271957	0	0.0831521463620256	0.156812656757854	0	0.115238411061942	0.188094240543646	0.0178042213889583	0.0293263214745503	0	0.0275193817353314	0	0	0.0857990929256764	0.0281634299826364	0.160486239895328	0.056618284882835	0	0.0183550376153932	0	0.0135702453466271	0	0.039	0.215683846479035	0.991591474013757
TCGA-AA-3509	0.047925089589501	0	0.117202580589223	0.0527052133385127	0	0.126209108003248	0.125006718780046	0.0165493348121604	0.00462173232387491	0	0.0600090633936094	0	0	0.156211525429762	0.0735644675976573	0.140290904920221	0.0314814356092636	0	0.00661652491439076	0	0.0416063006985309	0	0.025	0.259415362674818	0.973636542350895
TCGA-AM-5821	0	0.00229963749950094	0.202572475264693	0.259831651736728	0	0	0.179526117960476	0.0235540091746134	0	0	0.08050520392394	0	0.00359346202979824	0.0220541154071845	0.115981699682753	0.059377307254812	0.00826273858555048	0.00295302747438772	0	0.0302161433388442	0	0.00927241066671895	0.014	0.316910971621577	0.95935289581121
TCGA-A6-6650	0	0	0.414662344698901	0.0382596753465222	0	0.173614084087732	0.0472448988855687	0.00362550734737973	0.0234419885529089	0	0.0596347980837188	0	0.0142070817123157	0.0989890112792628	0.0126812591577433	0.0319151842759818	0	0	0	0.0767662156522377	0.00495795091972752	0	0.001	0.527445653310528	0.849448456239715
TCGA-AA-A01G	0	0.0503992568118092	0.214587523559919	0.136267215613553	0	0.0813746575613986	0.00778139235450958	0.138496994820252	0.0670128636795769	0	0.105786624649344	0	0	0.0777655664509037	0.0180763836590013	0.0553016111742896	0	0.00201052379174405	0	0.0451393858736989	0	0	0.00700000000000001	0.410374294851128	0.913449307010482
TCGA-AZ-6605	0.00729029781965262	0.0167582573603408	0.180382688021025	0.0662224558999677	0	0.107084169761669	0	0.0378070724383599	0.0746829437225343	0	0.0477105869329954	0	0	0.211325334076785	0.0785831353274364	0.0629307952423016	0.0178138008438519	0	0.0386305548140911	0.05277790773899	0	0	0.012	0.326595448631818	0.949218994770957
TCGA-AA-A01I	0	0	0.0863340178626589	0.228882741145011	0	0.136355232423678	0.0391445432210311	0.00439904927960786	0.118560960875815	0	0	0	0.0308792693999794	0	0.0816099851786872	0.0344378490408437	0.068678771211677	0	0	0.151586896299717	0.0191306840612952	0	0.087	0.139138712650885	1.03765235493805
